chain_id,pdb,uniprot,genes,location,function1,function2,species
526,4v88.AM,P48589,RPS12 YOR369C,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
527,4v88.AN,P05756,RPS13 RPS13C YDR064W D4252 YD9609.18,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],0
528,4v88.AO,P06367,RPS14A CRY1 RPL59 YCR031C YCR31C,"Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus, nucleolus {ECO:0000269|PubMed:15590835}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). uS11 is involved in nucleolar processing of pre-18S ribosomal RNA and ribosome assembly (PubMed:15590835). {ECO:0000269|PubMed:15590835, ECO:0000305|PubMed:22096102}.",mRNA 5'-UTR binding [GO:0048027]; mRNA binding [GO:0003729]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735],0
529,4v88.AP,Q01855,RPS15 RPS21 YOL040C,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). uS19 is involved in the nuclear export of the small ribosomal subunit precursor. Has a role in the late stage of the assembly of pre-40S particles within the nucleus and controls their export to the cytoplasm (PubMed:15167894). {ECO:0000269|PubMed:15167894, ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
530,4v88.AQ,P0CX51,RPS16A RP61R YMR143W YM9375.12,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
531,4v88.AS,P0CX55,RPS18A YDR450W D9461.35,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
532,4v88.AT,P07280,RPS19A RP55A RPS16AA YOL121C,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel (PubMed:22096102). eS19 is required for proper maturation of the small (40S) ribosomal subunit. Binds to 40S pre-ribosomal particles, probably required after association of NOC4 but before association of ENP1, TSR1 and RIO2 with 20/21S pre-rRNA (PubMed:16159874, PubMed:17726054). {ECO:0000269|PubMed:16159874, ECO:0000269|PubMed:17726054, ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
533,4v88.AU,P38701,RPS20 URP2 YHL015W,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
534,4v88.AW,P0C0W1,RPS22A RPS24 RPS24A YJL190C J0355,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
535,4v88.AX,P0CX29,RPS23A RPS28A YGR118W G6178,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
536,4v88.AY,P0CX31,RPS24A RPS24EA YER074W,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
537,4v88.Aa,P39938,RPS26A RPS26 YGL189C G1355,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735],0
538,4v88.Ab,P35997,RPS27A YKL156W,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",metal ion binding [GO:0046872]; structural constituent of ribosome [GO:0003735],0
539,4v88.Ac,Q3E7X9,RPS28A RPS33 RPS33A YOR167C O3600,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
540,4v88.Ad,P41057,RPS29A RPS36A YS29A YLR388W L8084.11,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735]; zinc ion binding [GO:0008270],0
541,4v88.Ae,P0CX33,RPS30A YLR287C-A L8003.23 YLR287BC,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
542,4v88.Af,P05759,RPS31 RPS37 UBI3 YLR167W L9470.14,Ubiquitin: Cytoplasm {ECO:0000250}. Nucleus {ECO:0000250}.; SUBCELLULAR LOCATION: 40S ribosomal protein S31: Cytoplasm {ECO:0000269|PubMed:22096102}.,"Ubiquitin: Exists either covalently attached to another protein, or free (unanchored). When covalently bound, it is conjugated to target proteins via an isopeptide bond either as a monomer (monoubiquitin), a polymer linked via different Lys residues of the ubiquitin (polyubiquitin chains) or a linear polymer linked via the initiator Met of the ubiquitin (linear polyubiquitin chains). Polyubiquitin chains, when attached to a target protein, have different functions depending on the Lys residue of the ubiquitin that is linked: Lys-6-linked may be involved in DNA repair; Lys-11-linked is involved in ERAD (endoplasmic reticulum-associated degradation) and in cell-cycle regulation; Lys-29-linked is involved in lysosomal degradation; Lys-33-linked is involved in kinase modification; Lys-48-linked is involved in protein degradation via the proteasome; Lys-63-linked is involved in endocytosis, and DNA-damage responses. Linear polymer chains formed via attachment by the initiator Met lead to cell signaling. Ubiquitin is usually conjugated to Lys residues of target proteins, however, in rare cases, conjugation to Cys or Ser residues has been observed. When polyubiquitin is free (unanchored-polyubiquitin), it also has distinct roles, such as in activation of protein kinases, and in signaling (By similarity). {ECO:0000250}.; FUNCTION: 40S ribosomal protein S31: Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",metal ion binding [GO:0046872]; protein tag [GO:0031386]; structural constituent of ribosome [GO:0003735],0
543,4v88.BA,P0CX45,RPL2A RPL5B YFR031C-A YFR031BC,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
544,4v88.BJ,P0C0W9,RPL11A RP39A RPL16A YPR102C P8283.14,Cytoplasm {ECO:0000269|PubMed:22096102}. Nucleus {ECO:0000269|PubMed:23118189}. Note=The SYO1-uL5-uL18 complex is transported into the nucleus by KAP104. {ECO:0000269|PubMed:23118189}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
545,4v88.BM,P36105,RPL14A YKL006W YKL153,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
546,4v88.BO,P26784,RPL16A RPL13 RPL21A YIL133C,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",mRNA binding [GO:0003729]; RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
547,4v88.BP,P05740,RPL17A RPL17 RPL20A YKL180W,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
548,4v88.BQ,P0CX49,RPL18A RP28A YOL120C,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
549,4v88.BR,P0CX82,RPL19A RPL23A YL14A YBR084C-A YBR084BC,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. eL19 may play a role in the last stages of translation initiation, in particular sububit joining and shedding/releasing factors. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
550,4v88.BT,Q02753,RPL21A URP1 YBR191W YBR1401,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
551,4v88.BU,P05749,RPL22A YLR061W L2168,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
552,4v88.BV,P0CX41,RPL23A RPL17A RPL17AA YBL087C YBL0713,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",large ribosomal subunit rRNA binding [GO:0070180]; structural constituent of ribosome [GO:0003735],0
553,4v88.BX,P04456,RPL25 YOL127W,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. uL23 is a major component of the universal docking site for these factors at the polypeptide exit tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735],0
554,4v88.BZ,P0C2H6,RPL27A RPL27 YHR010W,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
555,4v88.Ba,P02406,RPL28 CYH2 YGL103W,Cytoplasm {ECO:0000269|PubMed:22096102}.,"Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735],0
556,4v88.Bb,P05747,RPL29 YL43 YFR032C-A YFR032BW,"Cytoplasm {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:22096102}.","Component of the ribosome, a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell. The small ribosomal subunit (SSU) binds messenger RNAs (mRNAs) and translates the encoded message by selecting cognate aminoacyl-transfer RNA (tRNA) molecules. The large subunit (LSU) contains the ribosomal catalytic site termed the peptidyl transferase center (PTC), which catalyzes the formation of peptide bonds, thereby polymerizing the amino acids delivered by tRNAs into a polypeptide chain. The nascent polypeptides leave the ribosome through a tunnel in the LSU and interact with protein factors that function in enzymatic processing, targeting, and the membrane insertion of nascent chains at the exit of the ribosomal tunnel. {ECO:0000305|PubMed:22096102}.",structural constituent of ribosome [GO:0003735],0
